End of trend,RSI,Divergence,Number of bounces,Trend length before(bars),Currency Pair,Direction,Entry Time-frame,Reversed,Trend length after (bars),Ranging
23/04/2008 03:00,60,TRUE,2,53,EUR/USD,up,D,TRUE,132,FALSE
06/05/2008 03:00,39,FALSE,0,7,EUR/USD,down (within uptrend),D,FALSE,,FALSE
27/05/2008 03:00,54,FALSE,0,5,EUR/USD,up,D,TRUE,6,TRUE
05/06/2008 03:00,42,FALSE,0,6,EUR/USD,down,D,FALSE,,TRUE
16/06/2008 03:00,43,FALSE,0,4,EUR/USD,down,D,TRUE,20,TRUE
15/07/2008 03:00,61,FALSE,0,20,EUR/USD,up,D,TRUE,41,TRUE
13/08/2008 03:00,20.6,FALSE,0,17,EUR/USD,down,D,FALSE,,FALSE
12/9/2008 03:00,17,FALSE,2,43,EUR/USD,down,D,TRUE,8,FALSE
23/9/2008 03:00,58,FALSE,0,6,EUR/USD,up (within downtrend),D,TRUE,24,FALSE
28/10/2008 03:00,20.6,TRUE,5,70,EUR/USD,down,D,TRUE,36,FALSE
19/12/2008 03:00,77,FALSE,0,13,EUR/USD,up,D,TRUE,42,FALSE
05/03/2009 03:00,41,TRUE,0,56,EUR/USD,down,D,TRUE,189,FALSE
20/03/2009 03:00,72,FALSE,0,11,EUR/USD,up,D,TRUE,20,FALSE
22/04/2009 03:00,42,FALSE,0,22,EUR/USD,down (within uptrend),D,TRUE,156,FALSE
04/06/2009 03:00,72,FALSE,1,30,EUR/USD,up,D,FALSE,,FALSE
17/06/2009 03:00,48,FALSE,0,2,EUR/USD,down,D,FALSE,,TRUE
02/07/2009 03:00,52,FALSE,0,6,EUR/USD,up,D,FALSE,,TRUE
09/07/2009 03:00,47,FALSE,0,5,EUR/USD,down,D,TRUE,17,TRUE
05/08/2009 03:00,64,TRUE,2,75,EUR/USD,up,D,FALSE,,FALSE
24/09/2009 03:00,72,FALSE,3,109,EUR/USD,up,D,TRUE,6,FALSE
1/12/2009 03:00,62,TRUE,5,160,EUR/USD,up,D,TRUE,134,FALSE
23/12/2009 03:00,26,FALSE,0,15,EUR/USD,down,D,FALSE,,FALSE
13/01/2010 03:00,50,FALSE,0,14,EUR/USD,up (within downtrend),D,TRUE,103,FALSE
